Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	TimestepsThisBatch	TimestepsSoFar
2.06224417686	0	141.808823529	149.657477295	1128.0	45.0	15.1764705882	6.17380895032	6.04575	1032	1032
3.0604891777	1	524.702702703	593.514082115	2080.0	45.0	27.5135135135	16.2757017063	12.9636	1018	2050
3.75667119026	2	1178.64	1636.13087203	6903.0	55.0	40.36	26.2295710983	19.1526	1009	3059
4.26443600655	3	936.846153846	915.873298775	4095.0	136.0	38.5769230769	18.6262285644	15.5499	1003	4062
4.76033902168	4	1199.36	1894.2226243	9730.0	91.0	41.0	26.013842469	18.2085	1025	5087
5.28533816338	5	793.689655172	888.732732155	4371.0	120.0	35.3448275862	17.4005070518	13.1587	1025	6112
5.79558801651	6	979.56	813.066987646	3655.0	153.0	40.76	16.0306706036	14.193	1019	7131
6.3054151535	7	1109.43478261	795.387290192	3240.0	231.0	43.9565217391	15.58002696	14.485	1011	8142
6.81254005432	8	932.56	659.996247262	2485.0	276.0	40.4	13.876599007	13.4566	1010	9152
7.40246319771	9	1654.55	1981.15225248	8385.0	276.0	50.05	27.4599253459	18.4708	1001	10153
8.41765809059	10	1159.29166667	1100.42872248	5050.0	253.0	43.8333333333	18.7986406128	15.2964	1052	11205
9.39100813866	11	722.428571429	477.30309542	2346.0	190.0	35.7857142857	11.3337584954	11.1315	1002	12207
10.3493571281	12	636.8	339.128530206	1431.0	153.0	33.9333333333	9.39124888157	10.7	1018	13225
11.2984871864	13	758.066666667	1106.51208559	6328.0	171.0	34.2333333333	17.6062173362	12.3252	1027	14252
12.5798971653	14	519.6	461.887073397	2701.0	66.0	29.6857142857	11.3257517658	9.59398	1039	15291
13.8885130882	15	529.205882353	328.999712087	1653.0	153.0	30.6764705882	9.31071674828	10.0921	1043	16334
15.2006161213	16	414.324324324	214.609394275	1081.0	120.0	27.3513513514	7.29389309986	8.43869	1012	17346
16.3692121506	17	545.176470588	473.038766636	2145.0	91.0	30.2647058824	12.0056575475	10.1572	1029	18375
17.4825701714	18	556.0	455.498927252	2485.0	120.0	30.8787878788	11.2969761998	10.0674	1019	19394
18.5729081631	19	512.176470588	525.114355646	3321.0	153.0	29.5882352941	10.9225014563	10.0888	1006	20400
19.7464871407	20	397.842105263	254.97466606	1128.0	105.0	26.4473684211	8.35305606987	8.33653	1005	21405
20.7453150749	21	534.235294118	435.565761822	1953.0	120.0	30.0588235294	11.6137372423	9.92379	1022	22427
21.7730669975	22	628.78125	683.955532837	3160.0	105.0	31.375	15.5498191308	11.0156	1004	23431
22.8148469925	23	567.393939394	640.547111763	3916.0	78.0	30.6363636364	12.8671962094	10.3192	1011	24442
23.8892409801	24	619.9375	724.931976874	4278.0	153.0	31.78125	14.0728781149	10.7928	1017	25459
25.0438451767	25	888.035714286	1219.67163269	4851.0	120.0	35.8571428571	21.3185269622	13.7114	1004	26463
26.2704241276	26	787.875	1276.48804709	5778.0	153.0	34.0	19.6405193414	12.9657	1088	27551
27.3646631241	27	791.931034483	952.86558487	5050.0	105.0	35.2068965517	17.5820820044	12.4984	1021	28572
28.3299970627	28	512.971428571	482.970421201	2211.0	120.0	29.0285714286	12.4199970423	9.78712	1016	29588
29.3002650738	29	356.292682927	270.194170823	1326.0	91.0	24.7073170732	8.79923472958	8.32822	1013	30601
30.2716441154	30	274.8	113.531904473	561.0	105.0	22.4666666667	4.73098533312	6.89683	1011	31612
31.2722790241	31	431.435897436	620.722564679	3828.0	105.0	25.6923076923	13.3073217675	9.19713	1002	32614
31.8848559856	32	259.468085106	149.171592051	741.0	78.0	21.4893617021	5.97110895444	6.64945	1010	33624
32.3863370419	33	369.279069767	595.127710569	4005.0	91.0	23.7441860465	12.2893279913	9.00935	1021	34645
