Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	TimestepsThisBatch	TimestepsSoFar
1.47070121765	0	172.474576271	133.945644925	741.0	36.0	17.0	6.24092561583	6.59688	1003	1003
2.12800312042	1	557.333333333	756.95743312	3321.0	55.0	27.8888888889	17.5780446672	13.6896	1004	2007
2.77338504791	2	1119.62962963	2051.70433485	10440.0	66.0	37.2592592593	28.5262615751	20.1622	1006	3013
3.39335608482	3	1274.375	2049.58660085	10153.0	120.0	42.125	27.0575197496	19.9421	1011	4024
4.03407502174	4	1036.44	968.832661712	4005.0	120.0	40.96	18.8201594042	16.7817	1024	5048
4.91538500786	5	919.807692308	704.16573766	2278.0	120.0	39.1538461538	16.3535277485	15.085	1018	6066
5.90542912483	6	1091.8	1025.10627742	4656.0	190.0	41.88	19.6922725961	16.9222	1047	7113
6.93854904175	7	1445.16666667	1634.78606314	5886.0	120.0	45.625	27.6236802098	20.7004	1095	8208
7.89800620079	8	728.366666667	907.73474405	5356.0	78.0	34.2666666667	15.7563391123	13.7024	1028	9236
9.21268320084	9	989.566666667	1512.00422582	7260.0	55.0	36.7666666667	24.3018289207	17.4829	1103	10339
10.461302042	10	649.935483871	498.532681524	1770.0	66.0	33.064516129	13.1736185145	12.7565	1025	11364
11.7704181671	11	862.111111111	672.68325788	2701.0	153.0	37.9259259259	15.7454894798	14.8145	1024	12388
12.9037511349	12	673.064516129	662.425257402	2775.0	91.0	32.7419354839	15.5355320972	13.4457	1015	13403
14.0353941917	13	643.633333333	357.049808228	1378.0	136.0	33.9333333333	10.092681617	12.4323	1018	14421
15.1963582039	14	631.666666667	393.373726739	1596.0	105.0	33.3666666667	10.7996399117	12.3029	1001	15422
16.3389270306	15	490.2	348.802916108	1485.0	78.0	29.1142857143	10.1805737379	11.0829	1019	16441
17.3405690193	16	412.763157895	242.981961017	1176.0	36.0	26.9736842105	8.42454697237	10.0394	1025	17466
18.4263281822	17	671.111111111	1090.10602894	5995.0	55.0	29.9444444444	20.3864667044	14.8406	1078	18544
19.3927021027	18	398.692307692	297.540271254	1326.0	66.0	26.0769230769	9.55519623806	9.91862	1017	19561
20.3024852276	19	444.432432432	412.362117204	2415.0	78.0	27.2702702703	10.8594177552	10.8125	1009	20570
20.9593341351	20	504.945945946	612.837439137	3081.0	55.0	27.4054054054	15.2128314607	12.068	1014	21584
21.7084820271	21	775.088235294	1446.99931639	8385.0	91.0	31.9411764706	22.3158360765	15.7222	1086	22670
22.3919610977	22	501.815789474	536.28222417	2926.0	55.0	28.1842105263	13.4572525216	11.6601	1071	23741
23.0349831581	23	590.294117647	773.304769438	4371.0	66.0	29.8529411765	16.1101582001	12.9102	1015	24756
23.5510702133	24	411.763157895	248.750078996	1431.0	66.0	26.9736842105	8.30499799457	9.88175	1025	25781
24.0587542057	25	494.514285714	371.292827943	1653.0	78.0	29.0	10.9100216053	11.0662	1015	26796
24.7576670647	26	408.452380952	635.077130763	3741.0	55.0	24.3571428571	14.1165580396	10.7683	1023	27819
25.6524381638	27	545.222222222	756.060150132	3916.0	55.0	28.3333333333	16.1038297722	12.2705	1020	28839
26.4936380386	28	582.441176471	636.447594588	3003.0	91.0	30.4705882353	14.3511329623	12.2374	1036	29875
27.3491611481	29	425.205128205	411.486746491	2278.0	78.0	26.3333333333	11.4294566202	10.2943	1027	30902
28.1775300503	30	473.555555556	390.720733207	1596.0	66.0	28.0833333333	11.417274923	10.8574	1011	31913
28.8660361767	31	562.363636364	450.732186705	1891.0	153.0	30.9090909091	11.7663197726	11.8106	1020	32933
29.5673081875	32	489.6	377.193334284	2145.0	105.0	29.1142857143	10.1214663776	10.6924	1019	33952
30.2107081413	33	526.852941176	435.912439424	2145.0	55.0	29.5882352941	12.1923738148	11.3115	1006	34958
30.8702712059	34	540.794117647	393.293542476	2016.0	78.0	30.4117647059	11.2383734616	11.2981	1034	35992
31.5042111874	35	551.939393939	496.678356954	3003.0	120.0	30.6060606061	11.6851093898	11.389	1010	37002
32.1192891598	36	506.882352941	360.340832506	1596.0	105.0	29.6470588235	10.2552206301	10.6184	1008	38010
33.0570180416	37	769.344827586	635.108965718	3160.0	190.0	36.1034482759	14.1112447888	13.6229	1047	39057
34.056661129	38	583.575757576	664.332475648	3916.0	105.0	30.6363636364	14.0687019535	12.2113	1011	40068
35.1659371853	39	539.588235294	444.648117163	1830.0	78.0	30.0882352941	11.9910938692	11.4457	1023	41091
36.1311922073	40	450.027027027	388.394233158	1770.0	66.0	27.2702702703	11.3629284593	10.7596	1009	42100
37.5098252296	41	487.486486486	535.845965242	2628.0	78.0	27.7567567568	13.2958140241	11.3764	1027	43127
39.0403780937	42	400.075	341.874639854	1225.0	45.0	25.525	11.0950157729	10.3268	1021	44148
40.5179572105	43	375.636363636	746.823518489	4950.0	55.0	22.9090909091	14.2666460699	10.9378	1008	45156
42.4700751305	44	291.625	286.151374931	1326.0	45.0	21.6041666667	9.74196160802	9.14309	1037	46193
44.2874481678	45	275.875	245.669970438	1225.0	55.0	21.1458333333	9.13552950329	8.50386	1015	47208
45.9742062092	46	290.520833333	459.06022615	3240.0	45.0	21.0	10.910621736	8.96407	1008	48216
47.6975002289	47	276.88	351.662772553	2346.0	45.0	20.78	10.058409417	8.913	1039	49255
49.0821042061	48	239.72	147.702408917	595.0	36.0	20.34	6.73679448996	7.79193	1017	50272
50.3318841457	49	373.0	607.697106071	3655.0	45.0	22.75	14.3418095093	10.8498	1001	51273
51.6329851151	50	276.959183673	350.884128743	2145.0	55.0	20.612244898	10.4135240296	8.80149	1010	52283
52.8416171074	51	250.862745098	282.626617095	1770.0	45.0	19.8823529412	9.30242864941	8.2228	1014	53297
53.9067752361	52	296.47826087	283.322963597	1326.0	45.0	21.7608695652	9.88231794366	8.88983	1001	54298
55.0362172127	53	306.489361702	373.770487795	2211.0	55.0	21.6382978723	11.0961475621	9.33253	1017	55315
56.0877091885	54	260.959183673	188.295464649	780.0	55.0	21.0612244898	7.5684850431	8.01929	1032	56347
56.9324331284	55	280.106382979	276.4046705	1711.0	66.0	21.3404255319	9.13556667877	8.41244	1003	57350
57.7953181267	56	274.333333333	199.855086389	861.0	36.0	21.4166666667	8.28108621431	8.24732	1028	58378
58.6404731274	57	302.0	265.382240049	1653.0	78.0	22.5555555556	8.52592270811	8.71964	1015	59393
59.479129076	58	247.16	264.333982681	1596.0	45.0	20.06	8.47681543977	7.8945	1003	60396
60.3117251396	59	263.44	296.088038259	1653.0	45.0	20.16	10.014709182	8.48023	1008	61404
60.8315951824	60	261.230769231	384.965513709	2701.0	36.0	19.7884615385	10.5399177826	8.42545	1029	62433
61.3449392319	61	193.196428571	159.492433726	861.0	45.0	17.875	7.00015943696	6.98879	1001	63434
62.0078001022	62	385.209302326	407.887328158	1953.0	45.0	24.2325581395	12.6082977648	10.3596	1042	64476
62.6056451797	63	283.333333333	296.662780873	1596.0	45.0	21.0208333333	10.186775707	8.75403	1009	65485
63.2310290337	64	230.3	143.418443723	741.0	45.0	20.02	6.30710710231	7.47807	1001	66486
63.86069417	65	269.489795918	271.46850251	1275.0	55.0	20.5918367347	9.7141142156	8.62174	1009	67495
64.5439631939	66	359.863636364	416.784421653	2211.0	45.0	23.3409090909	12.3121211189	9.95594	1027	68522
65.5051660538	67	289.553191489	279.644364461	1431.0	55.0	21.6170212766	9.4970391612	8.59085	1016	69538
66.543295145	68	354.465116279	376.250062124	1830.0	45.0	23.6279069767	11.2705074189	9.92373	1016	70554
67.513215065	69	400.487179487	386.199089868	2415.0	66.0	25.8461538462	10.3491321612	9.97722	1008	71562
68.5651302338	70	613.322580645	410.408402974	1830.0	136.0	32.5483870968	11.6060015333	11.8306	1009	72571
69.8819150925	71	570.176470588	555.012849379	3160.0	66.0	30.5588235294	13.2647058824	11.5092	1039	73610
71.1088130474	72	416.157894737	278.919392837	990.0	45.0	26.6315789474	9.82055055974	9.756	1012	74622
72.3362281322	73	655.96875	738.253999497	3240.0	66.0	31.90625	16.187107862	12.7335	1021	75643
73.4471161366	74	683.7	534.726668495	2485.0	136.0	34.0	13.3191591326	12.2333	1020	76663
74.4773061275	75	809.740740741	599.15320446	2211.0	105.0	37.1851851852	14.1265105047	13.097	1004	77667
75.4994020462	76	661.433333333	544.047221194	2701.0	171.0	33.5	12.9273611641	12.0773	1005	78672
76.5192930698	77	944.423076923	970.100715353	5253.0	136.0	39.5769230769	16.8207131398	14.561	1029	79701
77.4234871864	78	873.115384615	665.198138609	3570.0	300.0	39.1153846154	13.3079702061	13.3015	1017	80718
78.3835890293	79	1074.79166667	956.551443954	4005.0	190.0	42.2083333333	18.0508059992	14.7289	1013	81731
79.3091630936	80	970.4	775.578803217	3321.0	351.0	40.8	15.3414471286	13.8775	1020	82751
80.2376461029	81	862.615384615	581.112863189	3081.0	231.0	39.1923076923	12.2475091055	12.9761	1019	83770
80.9219062328	82	900.310344828	1141.22049317	6555.0	210.0	38.0344827586	17.775385458	13.8298	1103	84873
81.5329020023	83	1142.17391304	685.929813381	2701.0	253.0	45.0434782609	14.5048065823	14.9906	1036	85909
82.1718111038	84	1157.16666667	1578.58044528	8001.0	300.0	42.4583333333	21.6602153857	15.9833	1019	86928
82.8348681927	85	786.5	485.851424967	2211.0	190.0	37.3571428571	11.8358242085	12.2929	1046	87974
83.3517131805	86	794.518518519	591.939709791	2701.0	210.0	37.1851851852	13.0043782856	12.7263	1004	88978
83.8487360477	87	721.275862069	537.641843132	2850.0	190.0	35.4482758621	12.2687891286	11.9583	1028	90006
84.3357532024	88	1035.375	875.461155263	3655.0	210.0	41.75	16.9096865731	14.825	1002	91008
85.1959722042	89	860.961538462	554.131717247	2485.0	253.0	39.2307692308	11.9849511161	13.1019	1020	92028
86.0518360138	90	766.407407407	427.370362346	1596.0	136.0	37.1111111111	10.8843527967	12.5968	1002	93030
86.9163031578	91	615.133333333	322.140211019	1378.0	171.0	33.3666666667	9.14141977789	11.2349	1001	94031
87.7567560673	92	633.333333333	422.618767002	2278.0	210.0	33.5333333333	10.4234777732	11.9046	1006	95037
88.7358400822	93	813.296296296	673.561337349	3321.0	136.0	37.0740740741	14.6639541076	13.666	1001	96038
90.0297861099	94	787.142857143	671.270049676	3003.0	120.0	36.3214285714	14.7891214156	13.4983	1017	97055
91.3999960423	95	404.025641026	317.532674449	1540.0	105.0	26.358974359	9.3218441542	9.75307	1028	98083
92.7181560993	96	475.277777778	432.301181734	2278.0	78.0	28.0	11.7709623887	10.6896	1008	99091
93.9199120998	97	397.025641026	327.073698837	1485.0	66.0	25.7435897436	10.2749831835	9.82486	1004	100095
95.0503020287	98	342.348837209	340.198155917	1953.0	45.0	23.4186046512	10.6229951501	9.63114	1007	101102
96.1292011738	99	312.717391304	366.244315168	2145.0	55.0	21.9782608696	10.9732661905	9.44191	1011	102113
